City,Cuisine,Name,Star,Comments,PCC,Taste,Envir,Service
东莞,自助餐,玛莎拉,中等,1,96.5-208,8.1,8.5,8.3
东莞,自助餐,松山湖凯悦酒店自助餐厅,中等,1,208以上,7.7,9,7.9
东莞,自助餐,塘厦三正半山酒店(沙利文西餐厅),中等,1,208以上,7.6,8,7.7
东莞,自助餐,三正半山酒店餐厅(樟木头店),中等,1,44.5-96.5,7.8,7.9,7.6
东莞,自助餐,烤园,中等,1,44.5-96.5,8,7.2,7.7
东莞,自助餐,拉丁餐厅(地王广场店),中等,1,96.5-208,7.4,7.6,7.7
东莞,自助餐,横城韩牛自助烤肉(华南MALL店),中等,1,44.5-96.5,7.8,7.9,7.6
东莞,自助餐,卡吧自助烧烤(东城店)分店,中等,1,44.5-96.5,7.7,7.7,7.8
东莞,自助餐,探烤泡锅 韩式烤肉自助餐厅,中等,1,44.5-96.5,8,8.1,8.1
东莞,烧烤,喜悦烤肉(东城万达广场店),中等,1,44.5-96.5,7.5,7.7,7.7
